slug,title,batch_origin,status,core_score,core_missing,slug_title_level,category_level,neighborhood_level,neighborhood_normalized,canonical_slug_guess,hero_level,curator_level,excerpt_len,body_len,todo_count,todo_notes,uncertain
rokuyosha-basement,六曜社 地下店,legacy_or_untracked,needs_manual_review,4/4,,uncertain,ok,ambiguous,kawaramachi,,ok,good,98,281,0,,slug_title_non_latin_auto_check_limited|canonical_neighborhood_ambiguous
hitsuji-kyoto,ひつじ,batch2,needs_manual_review,4/4,,uncertain,ok,missing,,,ok,good,117,202,1,manual-review:Confirm this listing and Gion Hitsuji Cafe are the same shop.,slug_title_non_latin_auto_check_limited
amuca-kyoto,Amuca,legacy_or_untracked,needs_manual_review,2/4,address|hours,ok,ok,missing,,,needs_review,good,103,213,0,,hero_image_source_or_quality_uncertain
ippodo-kyoto-main-store,一保堂茶舗 京都本店,legacy_or_untracked,usable_but_needs_image,4/4,,uncertain,ok,mapped,teramachi,karasuma-and-downtown,needs_review,good,96,211,0,,slug_title_non_latin_auto_check_limited|hero_image_source_or_quality_uncertain
d-and-department-kyoto,D&DEPARTMENT KYOTO,legacy_or_untracked,ready_to_publish,4/4,,ok,ok,mapped,karasuma,karasuma-and-downtown,ok,good,106,247,0,,
kotoka-kyoto,古都香,legacy_or_untracked,usable_but_needs_image,4/4,,uncertain,ok,mapped,demachiyanagi,kamo-river-and-demachiyanagi,needs_review,good,102,223,0,,slug_title_non_latin_auto_check_limited|hero_image_source_or_quality_uncertain
wife-and-husband,WIFE&HUSBAND,legacy_or_untracked,ready_to_publish,4/4,,ok,ok,mapped,demachiyanagi,kamo-river-and-demachiyanagi,ok,good,102,267,0,,
nao-coffee,直珈琲,legacy_or_untracked,hold_back_for_now,0/4,address|hours|website|mapsUrl,uncertain,ok,missing,,,missing,thin,0,0,0,,slug_title_non_latin_auto_check_limited
meditations-kyoto,Meditations,batch3,needs_manual_review,4/4,,ok,ok,missing,,,ok,thin,0,0,1,manual-review:Verify image license for production usage.,source_or_license_needs_verification
coffee-nijo-goya,珈琲 二条小屋,legacy_or_untracked,hold_back_for_now,0/4,address|hours|website|mapsUrl,uncertain,ok,missing,,,broken_local_path,thin,0,0,0,,slug_title_non_latin_auto_check_limited
